comment_id,target,opinion,sentiment,confidence,category,top_category_score
886175366,breakfast,substantial,POS,1.0,food,0.77
886175366,room,large,POS,1.0,facility,0.86
886175366,room,clean,POS,1.0,facility,0.86
886175366,air conditioner,good,POS,1.0,facility,0.67
886175366,bathroom,huge,POS,1.0,facility,0.80
886175366,balcony,big,POS,1.0,facility,0.92
886175366,balcony,bright,POS,1.0,facility,0.92
886175366,balcony,air,POS,1.0,facility,0.92
751602005,room,outdated,NEG,1.0,facility,0.86
751602005,room,don ’ t seem very clean,NEG,0.9735,facility,0.86
751602005,amenity,no,NEG,1.0,facility,1.00
751602005,staff,not friendly,NEG,1.0,service,1.00
751602005,breakfast,minimal,NEG,0.9994,food,0.77
751602005,breakfast,not very good,NEG,1.0,food,0.77
736659114,stay,hesitant,POS,0.9998,experience,1.00
736659114,room,clean,POS,1.0,facility,0.86
736659114,room,well maintained,POS,1.0,facility,0.86
736659114,room,well maintained,POS,0.994,facility,0.86
736659114,room,cleaners,POS,1.0,facility,0.86
736659114,air con,great,POS,1.0,facility,0.83
736659114,staff,amazing,POS,1.0,service,1.00
736659114,staff,smiling,POS,1.0,service,1.00
736659114,rate,great,POS,1.0,price,0.82
736659114,lippo mall,close,POS,1.0,environment,1.00
736659114,supermarket,price,NEG,0.9985,environment,0.82
736659114,restaurant,great,POS,0.9758,food,1.00
736659114,cafe,fantastic,POS,1.0,food,0.94
736659114,pork ribs,best,POS,1.0,food,0.92
736659114,breakfast,basic,NEU,1.0,food,0.77
4393020,location,happy,POS,1.0,environment,1.00
4393020,pool,clean,POS,1.0,facility,1.00
4393020,beach,walking distance,POS,1.0,environment,0.67
4393020,bakery,fabulous,POS,1.0,environment,0.86
4393020,bakery,modern,POS,1.0,environment,0.86
5438719,budget hotel,good,POS,1.0,price,1.00
5438719,staff,friendly,POS,1.0,service,1.00
5438719,staff,helpful,POS,1.0,service,1.00
5438719,pool,great,POS,1.0,facility,1.00
5438719,staff,rudeness,NEG,0.9778,service,1.00
5438719,hotel,safety,POS,1.0,facility,0.93
5438719,hotel,quiet,POS,1.0,facility,0.93
5438719,staff,friendly,POS,1.0,service,1.00
105053946,room,basic,NEU,1.0,facility,0.86
105053946,room,old,NEG,0.8517,facility,0.86
105053946,breakfast,good,POS,1.0,food,0.77
105053946,pool,enjoyed,POS,1.0,facility,1.00
105053946,air cons,great,POS,1.0,facility,0.83
340119793,hotel room,should bed 4 stars,POS,0.9959,facility,0.75
340119793,room,great,POS,1.0,facility,0.86
340119793,room,spacious,POS,1.0,facility,0.86
340119793,bathroom,big,POS,1.0,facility,0.80
340119793,room,cleaners very well,POS,0.9992,facility,0.86
