comment_id,target,opinion,sentiment,confidence
886175366,room,large,POS,0.9985
886175366,room,clean,POS,0.9957
886175366,aircon,good,POS,0.9767
886175366,bathroom,huge,POS,0.8399
886175366,balcony,big,POS,0.9701
886175366,balcony,bright,POS,0.6993
886175366,balcony,airy,POS,0.5325
751602005,rooms,outdated,NEG,0.9636
751602005,location,outdated,NEG,0.6718
751602005,location,don ’ t seem very clean,NEG,0.8076
751602005,rooms,minimal,POS,0.9615
751602005,Breakfast,minimal,POS,0.9943
751602005,pool,minimal,POS,0.6704
736659114,Room,clean,POS,0.9993
736659114,Breakfast,clean,POS,0.503
736659114,Room,well maintained,POS,0.9103
736659114,room,cleaned,POS,0.9948
736659114,air con,Great,POS,0.6832
736659114,Staff,smiling,POS,0.7079
736659114,cafe,fantastic,POS,0.9967
4393020,pool,clean,POS,0.9981
4393020,bakery,fabulous,POS,0.9844
4393020,supermarket,fabulous,POS,0.6855
5438719,menu,loved,POS,0.6065
5438719,hotel,good,POS,0.6907
5438719,staff,friendly,POS,0.9639
5438719,staff,helpful,POS,0.7598
5438719,Pool,great,POS,0.9514
5438719,Everyone,eager to help,POS,0.5562
5438719,Staff,friendly,POS,0.9984
105053946,kids,enjoyed,POS,0.5708
105053946,pool,enjoyed,POS,0.4865
105053946,pool,enjoyed,POS,0.5736
340119793,hotel room,should be 4 stars,POS,0.4761
340119793,restaurants,should be 4 stars,POS,0.3845
340119793,hotel room,great value,POS,0.58
340119793,restaurant,great value,POS,0.4679
340119793,supermarket,great value,POS,0.5692
340119793,cinema,great value,POS,0.605
340119793,restaurants,great value,POS,0.6805
340119793,room,great,POS,0.8158
340119793,rooms,cleaned,POS,0.7531
340119793,rooms,very well,POS,0.4966
340119793,hotel room,short walk,POS,0.6594
340119793,restaurant,short walk,POS,0.4717
340119793,supermarket,short walk,POS,0.5434
340119793,cinema,short walk,POS,0.5671
340119793,restaurants,short walk,POS,0.8751
340119793,hotel room,fine,POS,0.4112
124637732,Hotel,pretty good,POS,0.4445
124637732,everyone,friendly,POS,0.5224
124637732,travel person,really good,POS,0.6535
121724578,stay,adequate,POS,0.997
121724578,room,cool,POS,0.8522
117884167,budget hotel,Best,POS,0.9871
117884167,staff,fantastic,POS,0.9952
117884167,management,fantastic,POS,0.9807
685101496,rim pool,Doesn ’ t make much sense,NEG,0.5166
685101496,gym,Doesn ’ t make much sense,NEG,0.793
685101496,restaurant,Doesn ’ t make much sense,NEG,0.6618
295558103,hotel,worst,NEG,0.8568
295558103,rooms,worst,NEG,0.4827
295558103,Staff,not rude,NEG,0.465
295558103,rooms,old,NEG,0.8576
295558103,rooms,depressing,NEG,0.7882
227816563,pool,Nice,POS,0.9823
227816563,rooms,clean,POS,0.6104
227816563,tiles,broken,NEG,0.797
209982822,cupboard space,convenient,POS,0.5198
